condition,bit_index,subband,ber,target_one_frequency,predicted_one_frequency,false_zero_count,false_one_count
clean,65,HL2,0.0,0.54,0.54,0,0
clean,66,HL2,0.0,0.5,0.5,0,0
clean,67,HL2,0.0,0.495,0.495,0,0
clean,68,HL2,0.0,0.49,0.49,0,0
clean,69,HL2,0.0,0.555,0.555,0,0
clean,70,HL2,0.0,0.58,0.58,0,0
clean,71,HL2,0.0,0.505,0.505,0,0
clean,72,HL2,0.0,0.455,0.455,0,0
clean,73,HL2,0.0,0.485,0.485,0,0
clean,74,HL2,0.0,0.49,0.49,0,0
clean,75,HL2,0.0,0.52,0.52,0,0
clean,76,HL2,0.0,0.57,0.57,0,0
clean,77,HL2,0.0,0.525,0.525,0,0
clean,78,HL2,0.0,0.44,0.44,0,0
clean,79,HL2,0.005,0.53,0.525,1,0
clean,80,HL2,0.0,0.51,0.51,0,0
clean,81,HL2,0.0,0.485,0.485,0,0
clean,82,HL2,0.0,0.525,0.525,0,0
clean,83,HL2,0.0,0.435,0.435,0,0
clean,84,HL2,0.0,0.475,0.475,0,0
clean,85,HL2,0.0,0.495,0.495,0,0
clean,86,HL2,0.0,0.535,0.535,0,0
clean,87,HL2,0.0,0.5,0.5,0,0
clean,88,HL2,0.0,0.51,0.51,0,0
clean,89,HL2,0.0,0.51,0.51,0,0
clean,90,HL2,0.0,0.46,0.46,0,0
clean,91,HL2,0.0,0.46,0.46,0,0
clean,92,HL2,0.005,0.495,0.49,1,0
clean,93,HL2,0.0,0.42,0.42,0,0
clean,94,HL2,0.0,0.535,0.535,0,0
clean,95,HL2,0.01,0.5,0.49,2,0
clean,96,HL2,0.0,0.52,0.52,0,0
clean,97,HL2,0.0,0.52,0.52,0,0
clean,98,HL2,0.0,0.505,0.505,0,0
clean,99,HL2,0.0,0.475,0.475,0,0
clean,100,HL2,0.0,0.59,0.59,0,0
clean,101,HL2,0.0,0.5,0.5,0,0
clean,102,HL2,0.0,0.51,0.51,0,0
clean,103,HL2,0.0,0.45,0.45,0,0
clean,104,HL2,0.0,0.48,0.48,0,0
clean,105,HL2,0.0,0.485,0.485,0,0
clean,106,HL2,0.0,0.48,0.48,0,0
clean,107,HL2,0.0,0.535,0.535,0,0
clean,108,HL2,0.0,0.5,0.5,0,0
clean,109,HL2,0.0,0.555,0.555,0,0
clean,110,HL2,0.0,0.58,0.58,0,0
clean,111,HL2,0.0,0.525,0.525,0,0
clean,112,HL2,0.0,0.465,0.465,0,0
clean,113,HL2,0.0,0.5,0.5,0,0
clean,114,HL2,0.0,0.475,0.475,0,0
clean,115,HL2,0.0,0.495,0.495,0,0
clean,116,HL2,0.0,0.54,0.54,0,0
clean,117,HL2,0.0,0.52,0.52,0,0
clean,118,HL2,0.0,0.54,0.54,0,0
clean,119,HL2,0.0,0.48,0.48,0,0
clean,120,HL2,0.0,0.515,0.515,0,0
clean,121,HL2,0.0,0.535,0.535,0,0
clean,122,HL2,0.0,0.49,0.49,0,0
clean,123,HL2,0.0,0.465,0.465,0,0
clean,124,HL2,0.0,0.55,0.55,0,0
clean,125,HL2,0.0,0.46,0.46,0,0
clean,126,HL2,0.0,0.5,0.5,0,0
clean,127,HL2,0.0,0.51,0.51,0,0
resize75,0,LH2,0.1,0.525,0.535,9,11
resize75,1,LH2,0.02,0.45,0.46,1,3
resize75,2,LH2,0.02,0.54,0.55,1,3
resize75,3,LH2,0.1,0.53,0.56,7,13
resize75,4,LH2,0.14,0.5,0.55,9,19
resize75,5,LH2,0.125,0.525,0.53,12,13
resize75,6,LH2,0.035,0.52,0.495,6,1
resize75,7,LH2,0.08,0.52,0.51,9,7
resize75,8,LH2,0.095,0.495,0.51,8,11
resize75,9,LH2,0.04,0.57,0.58,3,5
resize75,10,LH2,0.045,0.545,0.54,5,4
resize75,11,LH2,0.06,0.51,0.49,8,4
resize75,12,LH2,0.075,0.54,0.535,8,7
resize75,13,LH2,0.16,0.475,0.515,12,20
resize75,14,LH2,0.085,0.52,0.525,8,9
resize75,15,LH2,0.05,0.5,0.54,1,9
resize75,16,LH2,0.04,0.5,0.51,3,5
resize75,17,LH2,0.0,0.455,0.455,0,0
resize75,18,LH2,0.12,0.54,0.54,12,12
resize75,19,LH2,0.09,0.52,0.58,3,15
resize75,20,LH2,0.12,0.5,0.53,9,15
resize75,21,LH2,0.07,0.55,0.57,5,9
resize75,22,LH2,0.08,0.485,0.455,11,5
resize75,23,LH2,0.115,0.56,0.575,10,13
resize75,24,LH2,0.04,0.525,0.525,4,4
resize75,25,LH2,0.08,0.475,0.475,8,8
resize75,26,LH2,0.105,0.535,0.49,15,6
resize75,27,LH2,0.105,0.46,0.495,7,14
resize75,28,LH2,0.11,0.58,0.58,11,11
resize75,29,LH2,0.055,0.505,0.5,6,5
resize75,30,LH2,0.095,0.51,0.515,9,10
resize75,31,LH2,0.12,0.46,0.46,12,12
resize75,32,LH2,0.085,0.53,0.505,11,6
resize75,33,LH2,0.075,0.46,0.445,9,6
resize75,34,LH2,0.105,0.44,0.465,8,13
resize75,35,LH2,0.135,0.475,0.51,10,17
resize75,36,LH2,0.04,0.545,0.545,4,4
resize75,37,LH2,0.07,0.47,0.49,5,9
resize75,38,LH2,0.205,0.5,0.535,17,24
resize75,39,LH2,0.11,0.475,0.425,16,6
resize75,40,LH2,0.055,0.495,0.47,8,3
resize75,41,LH2,0.135,0.5,0.515,12,15
resize75,42,LH2,0.16,0.51,0.54,13,19
resize75,43,LH2,0.135,0.475,0.52,9,18
resize75,44,LH2,0.11,0.54,0.56,9,13
resize75,45,LH2,0.04,0.555,0.535,6,2
resize75,46,LH2,0.09,0.415,0.455,5,13
resize75,47,LH2,0.045,0.52,0.515,5,4
resize75,48,LH2,0.08,0.515,0.475,12,4
resize75,49,LH2,0.105,0.56,0.605,6,15
resize75,50,LH2,0.105,0.485,0.51,8,13
resize75,51,LH2,0.085,0.55,0.535,10,7
resize75,52,LH2,0.135,0.525,0.47,19,8
resize75,53,LH2,0.095,0.44,0.455,8,11
resize75,54,LH2,0.07,0.5,0.54,3,11
resize75,55,LH2,0.08,0.475,0.445,11,5
resize75,56,LH2,0.105,0.51,0.515,10,11
resize75,57,LH2,0.05,0.505,0.485,7,3
resize75,58,LH2,0.075,0.51,0.535,5,10
resize75,59,LH2,0.08,0.535,0.525,9,7
resize75,60,LH2,0.08,0.475,0.485,7,9
resize75,61,LH2,0.075,0.515,0.54,5,10
resize75,62,LH2,0.03,0.52,0.52,3,3
resize75,63,LH2,0.07,0.54,0.54,7,7
resize75,64,HL2,0.015,0.525,0.53,1,2
resize75,65,HL2,0.04,0.54,0.56,2,6
resize75,66,HL2,0.075,0.5,0.515,6,9
resize75,67,HL2,0.03,0.495,0.505,2,4
resize75,68,HL2,0.045,0.49,0.505,3,6
resize75,69,HL2,0.125,0.555,0.55,13,12
resize75,70,HL2,0.125,0.58,0.615,9,16
resize75,71,HL2,0.115,0.505,0.5,12,11
resize75,72,HL2,0.06,0.455,0.485,3,9
resize75,73,HL2,0.1,0.485,0.495,9,11
resize75,74,HL2,0.105,0.49,0.535,6,15
resize75,75,HL2,0.065,0.52,0.545,4,9
resize75,76,HL2,0.055,0.57,0.555,7,4
resize75,77,HL2,0.075,0.525,0.53,7,8
resize75,78,HL2,0.215,0.44,0.485,17,26
resize75,79,HL2,0.075,0.53,0.535,7,8
resize75,80,HL2,0.09,0.51,0.54,6,12
resize75,81,HL2,0.185,0.485,0.46,21,16
resize75,82,HL2,0.095,0.525,0.5,12,7
resize75,83,HL2,0.165,0.435,0.48,12,21
resize75,84,HL2,0.16,0.475,0.515,12,20
resize75,85,HL2,0.03,0.495,0.495,3,3
resize75,86,HL2,0.165,0.535,0.51,19,14
resize75,87,HL2,0.155,0.5,0.505,15,16
resize75,88,HL2,0.125,0.51,0.535,10,15
resize75,89,HL2,0.09,0.51,0.55,5,13
resize75,90,HL2,0.12,0.46,0.46,12,12
resize75,91,HL2,0.12,0.46,0.47,11,13
resize75,92,HL2,0.16,0.495,0.465,19,13
resize75,93,HL2,0.1,0.42,0.45,7,13
resize75,94,HL2,0.055,0.535,0.55,4,7
resize75,95,HL2,0.05,0.5,0.52,3,7
resize75,96,HL2,0.07,0.52,0.52,7,7
resize75,97,HL2,0.125,0.52,0.565,8,17
resize75,98,HL2,0.11,0.505,0.555,6,16
resize75,99,HL2,0.19,0.475,0.535,13,25
resize75,100,HL2,0.11,0.59,0.56,14,8
resize75,101,HL2,0.075,0.5,0.535,4,11
resize75,102,HL2,0.08,0.51,0.54,5,11
resize75,103,HL2,0.11,0.45,0.5,6,16
resize75,104,HL2,0.095,0.48,0.505,7,12
resize75,105,HL2,0.105,0.485,0.54,5,16
resize75,106,HL2,0.07,0.48,0.53,2,12
resize75,107,HL2,0.04,0.535,0.555,2,6
resize75,108,HL2,0.08,0.5,0.51,7,9
resize75,109,HL2,0.06,0.555,0.535,8,4
resize75,110,HL2,0.05,0.58,0.57,6,4
resize75,111,HL2,0.105,0.525,0.49,14,7
resize75,112,HL2,0.075,0.465,0.48,6,9
resize75,113,HL2,0.095,0.5,0.495,10,9
resize75,114,HL2,0.085,0.475,0.46,10,7
resize75,115,HL2,0.115,0.495,0.5,11,12
resize75,116,HL2,0.065,0.54,0.535,7,6
resize75,117,HL2,0.055,0.52,0.505,7,4
resize75,118,HL2,0.115,0.54,0.505,15,8
resize75,119,HL2,0.07,0.48,0.49,6,8
resize75,120,HL2,0.025,0.515,0.51,3,2
resize75,121,HL2,0.075,0.535,0.51,10,5
resize75,122,HL2,0.065,0.49,0.545,1,12
resize75,123,HL2,0.03,0.465,0.455,4,2
resize75,124,HL2,0.09,0.55,0.56,8,10
resize75,125,HL2,0.045,0.46,0.475,3,6
resize75,126,HL2,0.025,0.5,0.515,1,4
resize75,127,HL2,0.055,0.51,0.515,5,6
resize50,0,LH2,0.1,0.525,0.545,8,12
resize50,1,LH2,0.025,0.45,0.465,1,4
resize50,2,LH2,0.04,0.54,0.54,4,4
resize50,3,LH2,0.115,0.53,0.535,11,12
resize50,4,LH2,0.065,0.5,0.515,5,8
resize50,5,LH2,0.125,0.525,0.55,10,15
resize50,6,LH2,0.055,0.52,0.495,8,3
resize50,7,LH2,0.055,0.52,0.475,10,1
resize50,8,LH2,0.16,0.495,0.535,12,20
resize50,9,LH2,0.01,0.57,0.58,0,2
resize50,10,LH2,0.065,0.545,0.54,7,6
resize50,11,LH2,0.09,0.51,0.49,11,7
resize50,12,LH2,0.095,0.54,0.535,10,9
resize50,13,LH2,0.165,0.475,0.51,13,20
resize50,14,LH2,0.075,0.52,0.535,6,9
resize50,15,LH2,0.04,0.5,0.51,3,5
resize50,16,LH2,0.075,0.5,0.515,6,9
resize50,17,LH2,0.03,0.455,0.475,1,5
resize50,18,LH2,0.13,0.54,0.54,13,13
resize50,19,LH2,0.14,0.52,0.51,15,13
resize50,20,LH2,0.2,0.5,0.5,20,20
resize50,21,LH2,0.095,0.55,0.535,11,8
resize50,22,LH2,0.115,0.485,0.48,12,11
resize50,23,LH2,0.11,0.56,0.54,13,9
resize50,24,LH2,0.055,0.525,0.54,4,7
resize50,25,LH2,0.07,0.475,0.475,7,7
resize50,26,LH2,0.085,0.535,0.53,9,8
resize50,27,LH2,0.155,0.46,0.515,10,21
resize50,28,LH2,0.065,0.58,0.575,7,6
resize50,29,LH2,0.05,0.505,0.495,6,4
resize50,30,LH2,0.18,0.51,0.57,12,24
resize50,31,LH2,0.105,0.46,0.445,12,9
resize50,32,LH2,0.03,0.53,0.53,3,3
resize50,33,LH2,0.11,0.46,0.45,12,10
resize50,34,LH2,0.07,0.44,0.45,6,8
resize50,35,LH2,0.09,0.475,0.475,9,9
resize50,36,LH2,0.05,0.545,0.565,3,7
resize50,37,LH2,0.115,0.47,0.515,7,16
resize50,38,LH2,0.205,0.5,0.515,19,22
resize50,39,LH2,0.16,0.475,0.465,17,15
resize50,40,LH2,0.115,0.495,0.46,15,8
resize50,41,LH2,0.105,0.5,0.545,6,15
resize50,42,LH2,0.105,0.51,0.485,13,8
resize50,43,LH2,0.17,0.475,0.555,9,25
resize50,44,LH2,0.11,0.54,0.54,11,11
resize50,45,LH2,0.05,0.555,0.525,8,2
resize50,46,LH2,0.12,0.415,0.435,10,14
resize50,47,LH2,0.04,0.52,0.53,3,5
resize50,48,LH2,0.105,0.515,0.5,12,9
resize50,49,LH2,0.105,0.56,0.625,4,17
resize50,50,LH2,0.13,0.485,0.525,9,17
resize50,51,LH2,0.105,0.55,0.595,6,15
resize50,52,LH2,0.09,0.525,0.505,11,7
resize50,53,LH2,0.085,0.44,0.415,11,6
resize50,54,LH2,0.095,0.5,0.495,10,9
resize50,55,LH2,0.08,0.475,0.495,6,10
resize50,56,LH2,0.085,0.51,0.495,10,7
resize50,57,LH2,0.07,0.505,0.485,9,5
resize50,58,LH2,0.065,0.51,0.505,7,6
resize50,59,LH2,0.095,0.535,0.54,9,10
resize50,60,LH2,0.145,0.475,0.49,13,16
resize50,61,LH2,0.105,0.515,0.53,9,12
resize50,62,LH2,0.03,0.52,0.51,4,2
resize50,63,LH2,0.085,0.54,0.545,8,9
resize50,64,HL2,0.015,0.525,0.53,1,2
resize50,65,HL2,0.065,0.54,0.565,4,9
resize50,66,HL2,0.15,0.5,0.52,13,17
resize50,67,HL2,0.05,0.495,0.485,6,4
resize50,68,HL2,0.095,0.49,0.485,10,9
resize50,69,HL2,0.16,0.555,0.525,19,13
resize50,70,HL2,0.14,0.58,0.59,13,15
resize50,71,HL2,0.125,0.505,0.54,9,16
resize50,72,HL2,0.12,0.455,0.515,6,18
resize50,73,HL2,0.125,0.485,0.48,13,12
resize50,74,HL2,0.195,0.49,0.535,15,24
resize50,75,HL2,0.065,0.52,0.535,5,8
resize50,76,HL2,0.06,0.57,0.58,5,7
resize50,77,HL2,0.055,0.525,0.53,5,6
resize50,78,HL2,0.195,0.44,0.495,14,25
resize50,79,HL2,0.05,0.53,0.53,5,5
resize50,80,HL2,0.205,0.51,0.515,20,21
resize50,81,HL2,0.225,0.485,0.45,26,19
resize50,82,HL2,0.13,0.525,0.525,13,13
resize50,83,HL2,0.165,0.435,0.5,10,23
resize50,84,HL2,0.14,0.475,0.515,10,18
resize50,85,HL2,0.025,0.495,0.5,2,3
resize50,86,HL2,0.165,0.535,0.53,17,16
resize50,87,HL2,0.135,0.5,0.545,9,18
resize50,88,HL2,0.09,0.51,0.5,10,8
resize50,89,HL2,0.055,0.51,0.515,5,6
resize50,90,HL2,0.17,0.46,0.49,14,20
resize50,91,HL2,0.13,0.46,0.46,13,13
resize50,92,HL2,0.145,0.495,0.47,17,12
resize50,93,HL2,0.06,0.42,0.43,5,7
resize50,94,HL2,0.09,0.535,0.545,8,10
resize50,95,HL2,0.04,0.5,0.49,5,3
resize50,96,HL2,0.13,0.52,0.53,12,14
resize50,97,HL2,0.17,0.52,0.53,16,18
resize50,98,HL2,0.12,0.505,0.525,10,14
resize50,99,HL2,0.17,0.475,0.495,15,19
resize50,100,HL2,0.12,0.59,0.57,14,10
resize50,101,HL2,0.09,0.5,0.49,10,8
resize50,102,HL2,0.145,0.51,0.525,13,16
resize50,103,HL2,0.135,0.45,0.455,13,14
resize50,104,HL2,0.115,0.48,0.475,12,11
resize50,105,HL2,0.085,0.485,0.49,8,9
resize50,106,HL2,0.13,0.48,0.48,13,13
resize50,107,HL2,0.065,0.535,0.53,7,6
resize50,108,HL2,0.135,0.5,0.485,15,12
resize50,109,HL2,0.055,0.555,0.52,9,2
resize50,110,HL2,0.1,0.58,0.58,10,10
resize50,111,HL2,0.095,0.525,0.5,12,7
resize50,112,HL2,0.07,0.465,0.475,6,8
resize50,113,HL2,0.11,0.5,0.52,9,13
resize50,114,HL2,0.11,0.475,0.455,13,9
resize50,115,HL2,0.11,0.495,0.525,8,14
resize50,116,HL2,0.045,0.54,0.535,5,4
resize50,117,HL2,0.095,0.52,0.505,11,8
resize50,118,HL2,0.15,0.54,0.51,18,12
resize50,119,HL2,0.095,0.48,0.515,6,13
resize50,120,HL2,0.06,0.515,0.525,5,7
resize50,121,HL2,0.025,0.535,0.55,1,4
resize50,122,HL2,0.06,0.49,0.5,5,7
resize50,123,HL2,0.04,0.465,0.435,7,1
resize50,124,HL2,0.06,0.55,0.54,7,5
resize50,125,HL2,0.085,0.46,0.465,8,9
resize50,126,HL2,0.05,0.5,0.52,3,7
resize50,127,HL2,0.055,0.51,0.515,5,6
resize25,0,LH2,0.535,0.525,0.2,86,21
resize25,1,LH2,0.485,0.45,0.165,77,20
resize25,2,LH2,0.495,0.54,0.145,89,10
resize25,3,LH2,0.54,0.53,0.2,87,21
resize25,4,LH2,0.51,0.5,0.32,69,33
resize25,5,LH2,0.43,0.525,0.355,60,26
resize25,6,LH2,0.53,0.52,0.21,84,22
resize25,7,LH2,0.51,0.52,0.4,63,39
resize25,8,LH2,0.465,0.495,0.36,60,33
resize25,9,LH2,0.55,0.57,0.13,99,11
resize25,10,LH2,0.54,0.545,0.245,84,24
resize25,11,LH2,0.465,0.51,0.405,57,36
resize25,12,LH2,0.54,0.54,0.36,72,36
resize25,13,LH2,0.525,0.475,0.32,68,37
resize25,14,LH2,0.5,0.52,0.28,74,26
resize25,15,LH2,0.505,0.5,0.235,77,24
resize25,16,LH2,0.51,0.5,0.16,85,17
resize25,17,LH2,0.465,0.455,0.16,76,17
resize25,18,LH2,0.505,0.54,0.295,75,26
resize25,19,LH2,0.505,0.52,0.285,74,27
resize25,20,LH2,0.5,0.5,0.32,68,32
resize25,21,LH2,0.525,0.55,0.365,71,34
resize25,22,LH2,0.48,0.485,0.235,73,23
resize25,23,LH2,0.48,0.56,0.32,72,24
resize25,24,LH2,0.535,0.525,0.25,81,26
resize25,25,LH2,0.475,0.475,0.22,73,22
resize25,26,LH2,0.56,0.535,0.375,72,40
resize25,27,LH2,0.48,0.46,0.34,60,36
resize25,28,LH2,0.485,0.58,0.375,69,28
resize25,29,LH2,0.505,0.505,0.13,88,13
resize25,30,LH2,0.495,0.51,0.505,50,49
resize25,31,LH2,0.51,0.46,0.4,57,45
resize25,32,LH2,0.475,0.53,0.315,69,26
resize25,33,LH2,0.46,0.46,0.35,57,35
resize25,34,LH2,0.49,0.44,0.27,66,32
resize25,35,LH2,0.49,0.475,0.325,64,34
resize25,36,LH2,0.545,0.545,0.18,91,18
resize25,37,LH2,0.46,0.47,0.4,53,39
resize25,38,LH2,0.495,0.5,0.375,62,37
resize25,39,LH2,0.485,0.475,0.43,53,44
resize25,40,LH2,0.515,0.495,0.34,67,36
resize25,41,LH2,0.48,0.5,0.36,62,34
resize25,42,LH2,0.52,0.51,0.3,73,31
resize25,43,LH2,0.46,0.475,0.375,56,36
resize25,44,LH2,0.55,0.54,0.34,75,35
resize25,45,LH2,0.48,0.555,0.255,78,18
resize25,46,LH2,0.425,0.415,0.43,41,44
resize25,47,LH2,0.5,0.52,0.19,83,17
resize25,48,LH2,0.515,0.515,0.24,79,24
resize25,49,LH2,0.55,0.56,0.26,85,25
resize25,50,LH2,0.495,0.485,0.37,61,38
resize25,51,LH2,0.52,0.55,0.34,73,31
resize25,52,LH2,0.545,0.525,0.39,68,41
resize25,53,LH2,0.46,0.44,0.36,54,38
resize25,54,LH2,0.5,0.5,0.32,68,32
resize25,55,LH2,0.485,0.475,0.3,66,31
resize25,56,LH2,0.5,0.51,0.24,77,23
resize25,57,LH2,0.565,0.505,0.17,90,23
resize25,58,LH2,0.485,0.51,0.345,65,32
resize25,59,LH2,0.485,0.535,0.32,70,27
resize25,60,LH2,0.515,0.475,0.28,71,32
resize25,61,LH2,0.515,0.515,0.23,80,23
resize25,62,LH2,0.48,0.52,0.12,88,8
resize25,63,LH2,0.53,0.54,0.27,80,26
resize25,64,HL2,0.485,0.525,0.13,88,9
resize25,65,HL2,0.55,0.54,0.2,89,21
resize25,66,HL2,0.565,0.5,0.265,80,33
resize25,67,HL2,0.495,0.495,0.11,88,11
resize25,68,HL2,0.495,0.49,0.315,67,32
resize25,69,HL2,0.43,0.555,0.405,58,28
resize25,70,HL2,0.57,0.58,0.27,88,26
resize25,71,HL2,0.54,0.505,0.355,69,39
resize25,72,HL2,0.475,0.455,0.25,68,27
resize25,73,HL2,0.485,0.485,0.4,57,40
resize25,74,HL2,0.48,0.49,0.3,67,29
resize25,75,HL2,0.5,0.52,0.15,87,13
resize25,76,HL2,0.52,0.57,0.22,87,17
resize25,77,HL2,0.555,0.525,0.14,94,17
resize25,78,HL2,0.605,0.44,0.435,61,60
resize25,79,HL2,0.5,0.53,0.28,75,25
resize25,80,HL2,0.47,0.51,0.41,57,37
resize25,81,HL2,0.535,0.485,0.46,56,51
resize25,82,HL2,0.52,0.525,0.435,61,43
resize25,83,HL2,0.485,0.435,0.38,54,43
resize25,84,HL2,0.465,0.475,0.37,57,36
resize25,85,HL2,0.465,0.495,0.2,76,17
resize25,86,HL2,0.53,0.535,0.405,66,40
resize25,87,HL2,0.54,0.5,0.44,60,48
resize25,88,HL2,0.55,0.51,0.27,79,31
resize25,89,HL2,0.45,0.51,0.28,68,22
resize25,90,HL2,0.51,0.46,0.38,59,43
resize25,91,HL2,0.47,0.46,0.37,56,38
resize25,92,HL2,0.425,0.495,0.38,54,31
resize25,93,HL2,0.47,0.42,0.16,73,21
resize25,94,HL2,0.535,0.535,0.34,73,34
resize25,95,HL2,0.49,0.5,0.15,84,14
resize25,96,HL2,0.46,0.52,0.32,66,26
resize25,97,HL2,0.51,0.52,0.37,66,36
resize25,98,HL2,0.505,0.505,0.22,79,22
resize25,99,HL2,0.49,0.475,0.385,58,40
resize25,100,HL2,0.54,0.59,0.26,87,21
resize25,101,HL2,0.505,0.5,0.185,82,19
resize25,102,HL2,0.52,0.51,0.3,73,31
resize25,103,HL2,0.475,0.45,0.405,52,43
resize25,104,HL2,0.46,0.48,0.3,64,28
resize25,105,HL2,0.515,0.485,0.24,76,27
resize25,106,HL2,0.51,0.48,0.33,66,36
resize25,107,HL2,0.495,0.535,0.2,83,16
resize25,108,HL2,0.51,0.5,0.28,73,29
resize25,109,HL2,0.57,0.555,0.265,86,28
resize25,110,HL2,0.55,0.58,0.25,88,22
resize25,111,HL2,0.435,0.525,0.34,62,25
resize25,112,HL2,0.465,0.465,0.22,71,22
resize25,113,HL2,0.485,0.5,0.335,65,32
resize25,114,HL2,0.455,0.475,0.18,75,16
resize25,115,HL2,0.505,0.495,0.32,68,33
resize25,116,HL2,0.54,0.54,0.2,88,20
resize25,117,HL2,0.51,0.52,0.31,72,30
resize25,118,HL2,0.49,0.54,0.31,72,26
resize25,119,HL2,0.5,0.48,0.3,68,32
resize25,120,HL2,0.505,0.515,0.15,87,14
resize25,121,HL2,0.535,0.535,0.25,82,25
resize25,122,HL2,0.52,0.49,0.19,82,22
resize25,123,HL2,0.495,0.465,0.21,75,24
resize25,124,HL2,0.55,0.55,0.24,86,24
resize25,125,HL2,0.49,0.46,0.28,67,31
resize25,126,HL2,0.54,0.5,0.19,85,23
resize25,127,HL2,0.5,0.51,0.27,74,26
